"Type"	"PvA"	"Gene"	"n"	"n_dep"	"lrt_rate"	"n_PvA"	"type_lrt_rate"	"p.value"	"p.value.adj"	"Group"
"Uveal Melanoma"	"Adult"	"NFATC2 (4773)"	2	0	0.0139616055846422	8	0	"0.604921788810003"	"1"	"Fraction of
adult lines
dependent"
"Liposarcoma"	"Adult"	"NFATC2 (4773)"	5	0	0.0139616055846422	8	0	"0.604921788810003"	"1"	"Fraction of
adult lines
dependent"
"Chordoma"	"Adult"	"NFATC2 (4773)"	4	0	0.0139616055846422	8	0	"0.604921788810003"	"1"	"Fraction of
adult lines
dependent"
"Colon/Colorectal"	"Adult"	"ISL1 (3670)"	35	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Bladder"	"Adult"	"ISL1 (3670)"	29	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Non-Small Cell Lung"	"Adult"	"ISL1 (3670)"	76	1	0.00349040139616056	2	0.00174520069808028	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Ovarian"	"Adult"	"ISL1 (3670)"	38	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Skin"	"Adult"	"ISL1 (3670)"	53	1	0.00349040139616056	2	0.00174520069808028	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Breast"	"Adult"	"ISL1 (3670)"	33	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Pancreatic"	"Adult"	"ISL1 (3670)"	31	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Meningioma"	"Adult"	"ISL1 (3670)"	2	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Glioma"	"Adult"	"ISL1 (3670)"	45	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Sarcoma"	"Adult"	"ISL1 (3670)"	2	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Ewing"	"Pediatric"	"ISL1 (3670)"	14	0	0.146341463414634	12	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
pediatric lines
dependent"
"Gastric"	"Adult"	"ISL1 (3670)"	25	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Fibrosarcoma"	"Adult"	"ISL1 (3670)"	1	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Medulloblastoma"	"Pediatric"	"ISL1 (3670)"	8	0	0.146341463414634	12	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
pediatric lines
dependent"
"Neuroblastoma"	"Pediatric"	"ISL1 (3670)"	19	12	0.146341463414634	12	0.146341463414634	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
pediatric lines
dependent"
"Osteosarcoma"	"Pediatric"	"ISL1 (3670)"	8	0	0.146341463414634	12	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
pediatric lines
dependent"
"Mesothelioma"	"Adult"	"ISL1 (3670)"	9	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Rhabdoid"	"Pediatric"	"ISL1 (3670)"	10	0	0.146341463414634	12	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
pediatric lines
dependent"
"Prostate"	"Adult"	"ISL1 (3670)"	1	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Kidney"	"Adult"	"ISL1 (3670)"	20	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Gallbladder"	"Adult"	"ISL1 (3670)"	3	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Thyroid"	"Adult"	"ISL1 (3670)"	5	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Rhabdomyosarcoma"	"Pediatric"	"ISL1 (3670)"	11	0	0.146341463414634	12	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
pediatric lines
dependent"
"Bile Duct"	"Adult"	"ISL1 (3670)"	25	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Small Cell Lung"	"Adult"	"ISL1 (3670)"	16	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Head And Neck"	"Adult"	"ISL1 (3670)"	33	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Liver"	"Adult"	"ISL1 (3670)"	21	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Endometrial/Uterine"	"Adult"	"ISL1 (3670)"	22	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Esophageal"	"Adult"	"ISL1 (3670)"	24	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Leiomyosarcoma"	"Adult"	"ISL1 (3670)"	2	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Chondrosarcoma"	"Adult"	"ISL1 (3670)"	1	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Cervical"	"Adult"	"ISL1 (3670)"	7	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Pediatric Glioma"	"Pediatric"	"ISL1 (3670)"	1	0	0.146341463414634	12	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
pediatric lines
dependent"
"Hepatoblastoma"	"Pediatric"	"ISL1 (3670)"	1	0	0.146341463414634	12	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
pediatric lines
dependent"
"Lung Carcinoid"	"Adult"	"ISL1 (3670)"	1	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Renal Medullary Carcinoma"	"Pediatric"	"ISL1 (3670)"	1	0	0.146341463414634	12	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
pediatric lines
dependent"
"Pediatric Sarcoma"	"Pediatric"	"ISL1 (3670)"	2	0	0.146341463414634	12	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
pediatric lines
dependent"
"Synovial Sarcoma"	"Pediatric"	"ISL1 (3670)"	5	0	0.146341463414634	12	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
pediatric lines
dependent"
"SCCOHT"	"Adult"	"ISL1 (3670)"	2	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Retinoblastoma"	"Pediatric"	"ISL1 (3670)"	1	0	0.146341463414634	12	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
pediatric lines
dependent"
"Pediatric Germ Cell"	"Pediatric"	"ISL1 (3670)"	1	0	0.146341463414634	12	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
pediatric lines
dependent"
"Uveal Melanoma"	"Adult"	"ISL1 (3670)"	2	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Liposarcoma"	"Adult"	"ISL1 (3670)"	5	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Chordoma"	"Adult"	"ISL1 (3670)"	4	0	0.00349040139616056	2	0	"2.23880399029995e-09"	"2.56566937288375e-07"	"Fraction of
adult lines
dependent"
"Colon/Colorectal"	"Adult"	"CCND2 (894)"	35	10	0.0401396160558464	23	0.0174520069808028	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Bladder"	"Adult"	"CCND2 (894)"	29	2	0.0401396160558464	23	0.00349040139616056	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Non-Small Cell Lung"	"Adult"	"CCND2 (894)"	76	1	0.0401396160558464	23	0.00174520069808028	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Ovarian"	"Adult"	"CCND2 (894)"	38	1	0.0401396160558464	23	0.00174520069808028	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Skin"	"Adult"	"CCND2 (894)"	53	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Breast"	"Adult"	"CCND2 (894)"	33	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Pancreatic"	"Adult"	"CCND2 (894)"	31	1	0.0401396160558464	23	0.00174520069808028	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Meningioma"	"Adult"	"CCND2 (894)"	2	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Glioma"	"Adult"	"CCND2 (894)"	45	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Sarcoma"	"Adult"	"CCND2 (894)"	2	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Ewing"	"Pediatric"	"CCND2 (894)"	14	0	0.0853658536585366	7	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
pediatric lines
dependent"
"Gastric"	"Adult"	"CCND2 (894)"	25	2	0.0401396160558464	23	0.00349040139616056	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Fibrosarcoma"	"Adult"	"CCND2 (894)"	1	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Medulloblastoma"	"Pediatric"	"CCND2 (894)"	8	2	0.0853658536585366	7	0.024390243902439	"0.0949030142776538"	"0.437198088875513"	"Fraction of
pediatric lines
dependent"
"Neuroblastoma"	"Pediatric"	"CCND2 (894)"	19	0	0.0853658536585366	7	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
pediatric lines
dependent"
"Osteosarcoma"	"Pediatric"	"CCND2 (894)"	8	0	0.0853658536585366	7	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
pediatric lines
dependent"
"Mesothelioma"	"Adult"	"CCND2 (894)"	9	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Rhabdoid"	"Pediatric"	"CCND2 (894)"	10	2	0.0853658536585366	7	0.024390243902439	"0.0949030142776538"	"0.437198088875513"	"Fraction of
pediatric lines
dependent"
"Prostate"	"Adult"	"CCND2 (894)"	1	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Kidney"	"Adult"	"CCND2 (894)"	20	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Gallbladder"	"Adult"	"CCND2 (894)"	3	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Thyroid"	"Adult"	"CCND2 (894)"	5	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Rhabdomyosarcoma"	"Pediatric"	"CCND2 (894)"	11	2	0.0853658536585366	7	0.024390243902439	"0.0949030142776538"	"0.437198088875513"	"Fraction of
pediatric lines
dependent"
"Bile Duct"	"Adult"	"CCND2 (894)"	25	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Small Cell Lung"	"Adult"	"CCND2 (894)"	16	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Head And Neck"	"Adult"	"CCND2 (894)"	33	3	0.0401396160558464	23	0.00523560209424084	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Liver"	"Adult"	"CCND2 (894)"	21	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Endometrial/Uterine"	"Adult"	"CCND2 (894)"	22	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Esophageal"	"Adult"	"CCND2 (894)"	24	2	0.0401396160558464	23	0.00349040139616056	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Leiomyosarcoma"	"Adult"	"CCND2 (894)"	2	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Chondrosarcoma"	"Adult"	"CCND2 (894)"	1	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Cervical"	"Adult"	"CCND2 (894)"	7	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Pediatric Glioma"	"Pediatric"	"CCND2 (894)"	1	1	0.0853658536585366	7	0.0121951219512195	"0.0949030142776538"	"0.437198088875513"	"Fraction of
pediatric lines
dependent"
"Hepatoblastoma"	"Pediatric"	"CCND2 (894)"	1	0	0.0853658536585366	7	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
pediatric lines
dependent"
"Lung Carcinoid"	"Adult"	"CCND2 (894)"	1	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Renal Medullary Carcinoma"	"Pediatric"	"CCND2 (894)"	1	0	0.0853658536585366	7	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
pediatric lines
dependent"
"Pediatric Sarcoma"	"Pediatric"	"CCND2 (894)"	2	0	0.0853658536585366	7	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
pediatric lines
dependent"
"Synovial Sarcoma"	"Pediatric"	"CCND2 (894)"	5	0	0.0853658536585366	7	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
pediatric lines
dependent"
"SCCOHT"	"Adult"	"CCND2 (894)"	2	1	0.0401396160558464	23	0.00174520069808028	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Retinoblastoma"	"Pediatric"	"CCND2 (894)"	1	0	0.0853658536585366	7	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
pediatric lines
dependent"
"Pediatric Germ Cell"	"Pediatric"	"CCND2 (894)"	1	0	0.0853658536585366	7	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
pediatric lines
dependent"
"Uveal Melanoma"	"Adult"	"CCND2 (894)"	2	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Liposarcoma"	"Adult"	"CCND2 (894)"	5	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Chordoma"	"Adult"	"CCND2 (894)"	4	0	0.0401396160558464	23	0	"0.0949030142776538"	"0.437198088875513"	"Fraction of
adult lines
dependent"
"Colon/Colorectal"	"Adult"	"VPS4A (27183)"	35	11	0.226876090750436	130	0.0191972076788831	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Bladder"	"Adult"	"VPS4A (27183)"	29	8	0.226876090750436	130	0.0139616055846422	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Non-Small Cell Lung"	"Adult"	"VPS4A (27183)"	76	25	0.226876090750436	130	0.043630017452007	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Ovarian"	"Adult"	"VPS4A (27183)"	38	9	0.226876090750436	130	0.0157068062827225	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Skin"	"Adult"	"VPS4A (27183)"	53	3	0.226876090750436	130	0.00523560209424084	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Breast"	"Adult"	"VPS4A (27183)"	33	8	0.226876090750436	130	0.0139616055846422	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Pancreatic"	"Adult"	"VPS4A (27183)"	31	16	0.226876090750436	130	0.0279232111692845	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Meningioma"	"Adult"	"VPS4A (27183)"	2	1	0.226876090750436	130	0.00174520069808028	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Glioma"	"Adult"	"VPS4A (27183)"	45	13	0.226876090750436	130	0.0226876090750436	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Sarcoma"	"Adult"	"VPS4A (27183)"	2	0	0.226876090750436	130	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Ewing"	"Pediatric"	"VPS4A (27183)"	14	2	0.170731707317073	14	0.024390243902439	"0.397859061284467"	"0.832794199559994"	"Fraction of
pediatric lines
dependent"
"Gastric"	"Adult"	"VPS4A (27183)"	25	6	0.226876090750436	130	0.0104712041884817	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Fibrosarcoma"	"Adult"	"VPS4A (27183)"	1	0	0.226876090750436	130	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Medulloblastoma"	"Pediatric"	"VPS4A (27183)"	8	0	0.170731707317073	14	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
pediatric lines
dependent"
"Neuroblastoma"	"Pediatric"	"VPS4A (27183)"	19	3	0.170731707317073	14	0.0365853658536585	"0.397859061284467"	"0.832794199559994"	"Fraction of
pediatric lines
dependent"
"Osteosarcoma"	"Pediatric"	"VPS4A (27183)"	8	1	0.170731707317073	14	0.0121951219512195	"0.397859061284467"	"0.832794199559994"	"Fraction of
pediatric lines
dependent"
"Mesothelioma"	"Adult"	"VPS4A (27183)"	9	0	0.226876090750436	130	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Rhabdoid"	"Pediatric"	"VPS4A (27183)"	10	2	0.170731707317073	14	0.024390243902439	"0.397859061284467"	"0.832794199559994"	"Fraction of
pediatric lines
dependent"
"Prostate"	"Adult"	"VPS4A (27183)"	1	0	0.226876090750436	130	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Kidney"	"Adult"	"VPS4A (27183)"	20	3	0.226876090750436	130	0.00523560209424084	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Gallbladder"	"Adult"	"VPS4A (27183)"	3	0	0.226876090750436	130	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Thyroid"	"Adult"	"VPS4A (27183)"	5	1	0.226876090750436	130	0.00174520069808028	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Rhabdomyosarcoma"	"Pediatric"	"VPS4A (27183)"	11	6	0.170731707317073	14	0.0731707317073171	"0.397859061284467"	"0.832794199559994"	"Fraction of
pediatric lines
dependent"
"Bile Duct"	"Adult"	"VPS4A (27183)"	25	5	0.226876090750436	130	0.0087260034904014	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Small Cell Lung"	"Adult"	"VPS4A (27183)"	16	2	0.226876090750436	130	0.00349040139616056	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Head And Neck"	"Adult"	"VPS4A (27183)"	33	8	0.226876090750436	130	0.0139616055846422	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Liver"	"Adult"	"VPS4A (27183)"	21	1	0.226876090750436	130	0.00174520069808028	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Endometrial/Uterine"	"Adult"	"VPS4A (27183)"	22	4	0.226876090750436	130	0.00698080279232112	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Esophageal"	"Adult"	"VPS4A (27183)"	24	5	0.226876090750436	130	0.0087260034904014	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Leiomyosarcoma"	"Adult"	"VPS4A (27183)"	2	0	0.226876090750436	130	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Chondrosarcoma"	"Adult"	"VPS4A (27183)"	1	1	0.226876090750436	130	0.00174520069808028	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Cervical"	"Adult"	"VPS4A (27183)"	7	0	0.226876090750436	130	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Pediatric Glioma"	"Pediatric"	"VPS4A (27183)"	1	0	0.170731707317073	14	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
pediatric lines
dependent"
"Hepatoblastoma"	"Pediatric"	"VPS4A (27183)"	1	0	0.170731707317073	14	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
pediatric lines
dependent"
"Lung Carcinoid"	"Adult"	"VPS4A (27183)"	1	0	0.226876090750436	130	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Renal Medullary Carcinoma"	"Pediatric"	"VPS4A (27183)"	1	0	0.170731707317073	14	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
pediatric lines
dependent"
"Pediatric Sarcoma"	"Pediatric"	"VPS4A (27183)"	2	0	0.170731707317073	14	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
pediatric lines
dependent"
"Synovial Sarcoma"	"Pediatric"	"VPS4A (27183)"	5	0	0.170731707317073	14	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
pediatric lines
dependent"
"SCCOHT"	"Adult"	"VPS4A (27183)"	2	0	0.226876090750436	130	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Retinoblastoma"	"Pediatric"	"VPS4A (27183)"	1	0	0.170731707317073	14	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
pediatric lines
dependent"
"Pediatric Germ Cell"	"Pediatric"	"VPS4A (27183)"	1	0	0.170731707317073	14	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
pediatric lines
dependent"
"Uveal Melanoma"	"Adult"	"VPS4A (27183)"	2	0	0.226876090750436	130	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Liposarcoma"	"Adult"	"VPS4A (27183)"	5	0	0.226876090750436	130	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Chordoma"	"Adult"	"VPS4A (27183)"	4	0	0.226876090750436	130	0	"0.397859061284467"	"0.832794199559994"	"Fraction of
adult lines
dependent"
"Colon/Colorectal"	"Adult"	"PRDX1 (5052)"	35	1	0.0802792321116928	46	0.00174520069808028	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Bladder"	"Adult"	"PRDX1 (5052)"	29	1	0.0802792321116928	46	0.00174520069808028	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Non-Small Cell Lung"	"Adult"	"PRDX1 (5052)"	76	6	0.0802792321116928	46	0.0104712041884817	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Ovarian"	"Adult"	"PRDX1 (5052)"	38	5	0.0802792321116928	46	0.0087260034904014	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Skin"	"Adult"	"PRDX1 (5052)"	53	3	0.0802792321116928	46	0.00523560209424084	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Breast"	"Adult"	"PRDX1 (5052)"	33	1	0.0802792321116928	46	0.00174520069808028	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Pancreatic"	"Adult"	"PRDX1 (5052)"	31	0	0.0802792321116928	46	0	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Meningioma"	"Adult"	"PRDX1 (5052)"	2	1	0.0802792321116928	46	0.00174520069808028	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Glioma"	"Adult"	"PRDX1 (5052)"	45	6	0.0802792321116928	46	0.0104712041884817	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Sarcoma"	"Adult"	"PRDX1 (5052)"	2	1	0.0802792321116928	46	0.00174520069808028	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Ewing"	"Pediatric"	"PRDX1 (5052)"	14	0	0.0487804878048781	4	0	"0.500057095999438"	"0.924299083895736"	"Fraction of
pediatric lines
dependent"
"Gastric"	"Adult"	"PRDX1 (5052)"	25	3	0.0802792321116928	46	0.00523560209424084	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Fibrosarcoma"	"Adult"	"PRDX1 (5052)"	1	0	0.0802792321116928	46	0	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Medulloblastoma"	"Pediatric"	"PRDX1 (5052)"	8	0	0.0487804878048781	4	0	"0.500057095999438"	"0.924299083895736"	"Fraction of
pediatric lines
dependent"
"Neuroblastoma"	"Pediatric"	"PRDX1 (5052)"	19	0	0.0487804878048781	4	0	"0.500057095999438"	"0.924299083895736"	"Fraction of
pediatric lines
dependent"
"Osteosarcoma"	"Pediatric"	"PRDX1 (5052)"	8	3	0.0487804878048781	4	0.0365853658536585	"0.500057095999438"	"0.924299083895736"	"Fraction of
pediatric lines
dependent"
"Mesothelioma"	"Adult"	"PRDX1 (5052)"	9	1	0.0802792321116928	46	0.00174520069808028	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Rhabdoid"	"Pediatric"	"PRDX1 (5052)"	10	1	0.0487804878048781	4	0.0121951219512195	"0.500057095999438"	"0.924299083895736"	"Fraction of
pediatric lines
dependent"
"Prostate"	"Adult"	"PRDX1 (5052)"	1	0	0.0802792321116928	46	0	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Kidney"	"Adult"	"PRDX1 (5052)"	20	4	0.0802792321116928	46	0.00698080279232112	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Gallbladder"	"Adult"	"PRDX1 (5052)"	3	0	0.0802792321116928	46	0	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Thyroid"	"Adult"	"PRDX1 (5052)"	5	0	0.0802792321116928	46	0	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Rhabdomyosarcoma"	"Pediatric"	"PRDX1 (5052)"	11	0	0.0487804878048781	4	0	"0.500057095999438"	"0.924299083895736"	"Fraction of
pediatric lines
dependent"
"Bile Duct"	"Adult"	"PRDX1 (5052)"	25	2	0.0802792321116928	46	0.00349040139616056	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
"Small Cell Lung"	"Adult"	"PRDX1 (5052)"	16	2	0.0802792321116928	46	0.00349040139616056	"0.500057095999438"	"0.924299083895736"	"Fraction of
adult lines
dependent"
